Delay (ms),Jitter (ms),Run,Alpha RMS (deg),Theta RMS wrapped (deg),Mean |V|,Sat %,Duration (s),Result
100,100,1,4.03,40.74,0.375,0.0,35.1,PASS
100,100,2,4.27,49.41,0.416,0.0,30.4,PASS
100,100,3,1.67,20.45,0.281,0.0,30.4,PASS
100,100,4,1.58,27.15,0.291,0.0,30.4,PASS
100,100,5,1.44,32.30,0.312,0.0,30.3,PASS
100,100,Mean ± Std (pass),2.60 ± 1.42,34.01 ± 11.36,0.335 ± 0.058,0.0 ± 0.0,31.3,PASS (5/5)
100,100,Failure time,—,—,—,—,—,FAIL (0/5)
300,100,1,1.16,21.34,0.277,0.0,30.1,PASS
300,100,2,1.71,23.64,0.289,0.0,30.6,PASS
300,100,3,2.46,27.75,0.309,0.0,31.8,PASS
300,100,4,2.72,29.99,0.312,0.0,30.6,PASS
300,100,5,2.99,27.73,0.302,0.0,30.3,PASS
300,100,Mean ± Std (pass),2.21 ± 0.75,26.09 ± 3.51,0.298 ± 0.015,0.0 ± 0.0,30.7,PASS (5/5)
300,100,Failure time,—,—,—,—,—,FAIL (0/5)
900,100,1,1.15,24.11,0.273,0.0,31.0,PASS
900,100,2,1.34,30.98,0.299,0.0,31.2,PASS
900,100,3,1.39,33.87,0.308,0.0,31.3,PASS
900,100,4,1.63,27.83,0.290,0.0,30.3,PASS
900,100,5,1.30,22.14,0.276,0.0,30.7,PASS
900,100,Mean ± Std (pass),1.36 ± 0.18,27.78 ± 4.81,0.289 ± 0.015,0.0 ± 0.0,30.9,PASS (5/5)
900,100,Failure time,—,—,—,—,—,FAIL (0/5)
